scenarioId,milestone,verdict,finalVerdict,verdictClass,runnability,cleanExpectedMatches,mustFindExpected,missingExpectedFindings,mustNotFindViolations,unexpectedFindings,unexpectedRegexOnlyFindings,sameSurfaceExtraFindings,sameFileDifferentSignalFindings,mayFindReview,explainabilityFailures,refStateFailures,noiseCount,noiseBreakdown,finalVerdictReason,dossierMissing,fillerRatio,realismScore,dossierPath,logsPath,liveBusinessCode,liveConfig,tests,docs,scripts,fixtures,vendorGenerated,syntheticFiller
G-V1-CONFIG-004,M1,PASS_CLEAN,PASS_CLEAN,PASS_CLEAN,"build:passed,smoke:passed,test:passed",4,4,0,0,0,0,0,0,0,0,0,0,none,all expected findings matched cleanly with no unexpected noise,False,0.96318407960199,1,C:\Users\EnesPekdas\Desktop\ARQV2\LAB\Arq-lab\reports\generated-project-dossiers\G-V1-CONFIG-004.md,C:\Users\EnesPekdas\Desktop\ARQV2\LAB\Arq-lab\repositories\legacy-admin-config\validation\runnability-logs,0,19,2,11,2,0,143,4840
G-V1-COV-101,M1,PASS_CLEAN,PASS_CLEAN,PASS_CLEAN,"build:passed,smoke:passed,test:passed",20,20,0,0,0,0,0,0,0,0,0,0,none,all expected findings matched cleanly with no unexpected noise,False,0.9275174314901897,1,C:\Users\EnesPekdas\Desktop\ARQV2\LAB\Arq-lab\reports\generated-project-dossiers\G-V1-COV-101.md,C:\Users\EnesPekdas\Desktop\ARQV2\LAB\Arq-lab\repositories\guardian-coverage-saas\validation\runnability-logs,0,71,3,28,2,0,335,5720
G-V1-COV-102,M1,PASS_WITH_NOISE,PASS_WITH_NOISE,PASS_WITH_NOISE,"build:passed,smoke:passed,test:passed",20,20,0,0,3,0,0,3,0,0,0,3,sameFileDifferentSignalFindings=3,3 unexpected/noisy finding(s) remained after matching (same-file-different-signal=3),False,0.9254165992557839,1,C:\Users\EnesPekdas\Desktop\ARQV2\LAB\Arq-lab\reports\generated-project-dossiers\G-V1-COV-102.md,C:\Users\EnesPekdas\Desktop\ARQV2\LAB\Arq-lab\repositories\guardian-coverage-cloud\validation\runnability-logs,0,81,3,32,2,0,335,5720
G-V1-COV-103,M1,PASS_WITH_NOISE,PASS_WITH_NOISE,PASS_WITH_NOISE,"build:passed,smoke:passed,test:passed",20,20,0,0,1,0,0,1,0,0,0,1,sameFileDifferentSignalFindings=1,1 unexpected/noisy finding(s) remained after matching (same-file-different-signal=1),False,0.9273670557717251,1,C:\Users\EnesPekdas\Desktop\ARQV2\LAB\Arq-lab\reports\generated-project-dossiers\G-V1-COV-103.md,C:\Users\EnesPekdas\Desktop\ARQV2\LAB\Arq-lab\repositories\guardian-coverage-automation\validation\runnability-logs,0,69,3,31,2,0,335,5720
G-V1-COV-104,M1,PASS_WITH_NOISE,PASS_WITH_NOISE,PASS_WITH_NOISE,"build:passed,smoke:passed,test:passed",20,20,0,0,2,0,0,2,0,0,0,2,sameFileDifferentSignalFindings=2,2 unexpected/noisy finding(s) remained after matching (same-file-different-signal=2),False,0.9270664505672609,1,C:\Users\EnesPekdas\Desktop\ARQV2\LAB\Arq-lab\reports\generated-project-dossiers\G-V1-COV-104.md,C:\Users\EnesPekdas\Desktop\ARQV2\LAB\Arq-lab\repositories\guardian-coverage-partners\validation\runnability-logs,0,73,3,26,2,0,338,5720
G-V1-COV-105,M1,PASS_WITH_NOISE,PASS_WITH_NOISE,PASS_WITH_NOISE,"build:passed,smoke:passed,test:passed",20,20,0,0,2,0,0,2,0,0,0,2,sameFileDifferentSignalFindings=2,2 unexpected/noisy finding(s) remained after matching (same-file-different-signal=2),False,0.9287221951615522,1,C:\Users\EnesPekdas\Desktop\ARQV2\LAB\Arq-lab\reports\generated-project-dossiers\G-V1-COV-105.md,C:\Users\EnesPekdas\Desktop\ARQV2\LAB\Arq-lab\repositories\guardian-coverage-enterprise\validation\runnability-logs,0,63,3,28,2,0,335,5720
G-V1-COV-106,M1,PASS_WITH_NOISE,PASS_WITH_NOISE,PASS_WITH_NOISE,"build:passed,smoke:passed,test:passed",20,20,0,0,2,0,0,2,0,0,0,2,sameFileDifferentSignalFindings=2,2 unexpected/noisy finding(s) remained after matching (same-file-different-signal=2),False,0.9263157894736842,1,C:\Users\EnesPekdas\Desktop\ARQV2\LAB\Arq-lab\reports\generated-project-dossiers\G-V1-COV-106.md,C:\Users\EnesPekdas\Desktop\ARQV2\LAB\Arq-lab\repositories\guardian-coverage-support\validation\runnability-logs,0,77,3,30,2,0,335,5720
G-V1-COV-107,M1,PASS_CLEAN,PASS_CLEAN,PASS_CLEAN,"build:passed,smoke:passed,test:passed",20,20,0,0,0,0,0,0,0,0,0,0,none,all expected findings matched cleanly with no unexpected noise,False,0.92496765847348,1,C:\Users\EnesPekdas\Desktop\ARQV2\LAB\Arq-lab\reports\generated-project-dossiers\G-V1-COV-107.md,C:\Users\EnesPekdas\Desktop\ARQV2\LAB\Arq-lab\repositories\guardian-coverage-marketing\validation\runnability-logs,0,81,3,35,2,0,335,5720
G-V1-COV-108,M1,PASS_CLEAN,PASS_CLEAN,PASS_CLEAN,"build:passed,smoke:passed,test:passed",20,20,0,0,0,0,0,0,0,0,0,0,none,all expected findings matched cleanly with no unexpected noise,False,0.9266159079863924,1,C:\Users\EnesPekdas\Desktop\ARQV2\LAB\Arq-lab\reports\generated-project-dossiers\G-V1-COV-108.md,C:\Users\EnesPekdas\Desktop\ARQV2\LAB\Arq-lab\repositories\guardian-coverage-data\validation\runnability-logs,0,76,3,26,2,0,338,5720
G-V1-COV-109,M1,PASS_CLEAN,PASS_CLEAN,PASS_CLEAN,"build:passed,smoke:passed,test:passed",20,20,0,0,0,0,0,0,0,0,0,0,none,all expected findings matched cleanly with no unexpected noise,False,0.9272167288053169,1,C:\Users\EnesPekdas\Desktop\ARQV2\LAB\Arq-lab\reports\generated-project-dossiers\G-V1-COV-109.md,C:\Users\EnesPekdas\Desktop\ARQV2\LAB\Arq-lab\repositories\guardian-coverage-mobile\validation\runnability-logs,0,67,3,28,2,0,341,5720
